Dia Futuro;Point.Forecast;Lo.80;Hi.80;Lo.95;Hi.95
1;63.0410566;43.8162471;82.2658661;33.6392477;92.44286551
2;89.31301069;70.08820079;108.5378206;59.91120118;118.7148202
3;66.7435913;47.51878052;85.96840208;37.34178045;96.14540216
4;69.14692959;49.92211726;88.37174193;39.74511635;98.54874283
5;67.08425991;47.85944514;86.30907468;37.68244295;96.48607687
6;77.60386412;58.37904586;96.82868238;48.20204182;107.0056864
7;76.66459764;57.43977464;95.88942065;47.26276808;106.0664272
8;77.50589016;58.28106095;96.73071936;48.10405112;106.9077292
9;73.02460622;53.79976919;92.24944326;43.62275521;102.4264572
10;76.70346107;57.47861436;95.92830777;47.30159527;106.1053269
11;89.27963326;70.05477486;108.5044917;59.87774958;118.6815169
12;63.87195931;44.64708701;83.09683161;34.47005436;93.27386426
13;87.76587088;68.54098227;106.9907595;58.36394098;117.1678008
14;132.2372237;113.0123162;151.4621312;102.8352649;161.6391825
15;81.39091114;62.1659819;100.6158404;51.98891911;110.7929032
16;89.47181032;70.24685638;108.6967643;60.06978052;118.8738401
17;134.6213129;115.3963311;153.8462947;105.2192405;164.0233853
18;73.93400173;54.70898869;93.15901478;44.53188153;103.3361219
19;89.02809123;69.80304338;108.2531391;59.6259178;118.4302647
20;103.92527;84.70018364;123.1503565;74.52303765;133.3275024
21;102.0279448;82.80281592;121.2530737;72.62564743;131.4302422
22;86.53500663;67.30983108;105.7601822;57.1326379;115.9373754
23;94.45081607;75.22558954;113.6760426;65.04836938;123.8532628
24;93.19927155;73.97398953;112.4245536;63.79673999;122.6018031
25;82.42928373;63.20394149;101.654626;53.02666008;111.8319074
26;97.53175706;78.3063497;116.7571644;68.12903382;126.9344803
27;105.0243237;85.79884608;124.2498012;75.62149302;134.4271543
28;104.9228495;85.69729644;124.1484026;75.51990341;134.3257956
29;119.1686363;99.94300218;138.3942703;89.76556627;148.5717062
30;120.0695801;100.8438593;139.2953008;90.66637752;149.4727826
